,Unnamed: 0,data_id,event_date,year,time_precision,event_type,actor1,actor1_type,actor2,actor2_type,interaction_type,region1,region2,region3,location,latitude,longitude,geo_precision,fatalities,Month,Day,Year-Month
181,181,1742148,2018/7/23,2018,1,Riots/Protests,Rioters (South Sudan),Rioters,Civilians (International),Civilians,57,Upper Nile,Maban,Maban,Maban,9.96,33.73,2,0,7,23,2018-7
182,182,1728015,2018/7/23,2018,1,Violence against civilians,Unidentified Armed Group (South Sudan),Political militia,Civilians (South Sudan),Civilians,37,Unity,Rubkona,Rubkoana,Bentiu,9.2525,29.7883,1,1,7,23,2018-7
188,188,1722949,2018/7/20,2018,1,Violence against civilians,Military Forces of South Sudan (2011-),Government or mutinous force,Civilians (South Sudan),Civilians,17,Unity,Mayendit,Mayendit,Jaguar,8.3892,30.0286,2,0,7,20,2018-7
191,191,1722944,2018/7/19,2018,2,Strategic development,Unidentified Armed Group (South Sudan),Political militia,Civilians (South Sudan),Civilians,37,Central Equatoria,Yei,Yei,Yei,4.0899,30.6716,2,0,7,19,2018-7
192,192,1722945,2018/7/19,2018,1,Violence against civilians,Unidentified Armed Group (South Sudan),Political militia,Civilians (South Sudan),Civilians,37,Unity,Rubkona,Rubkoana,Rubkona,9.3067,29.7833,2,2,7,19,2018-7
194,194,1722941,2018/7/15,2018,1,Violence against civilians,Duk Padiet Communal Militia (South Sudan),Ethnic militia,Civilians (South Sudan),Civilians,47,Jonglei,Duk,Duk Padiet,Warawar,7.84,31.69,2,3,7,15,2018-7
199,199,1722938,2018/7/14,2018,1,Strategic development,Unidentified Armed Group (South Sudan),Political militia,Civilians (International),Civilians,37,Western Equatoria,Mundri West,Mundri,Kotobi,5.25,30.21,1,0,7,14,2018-7
200,200,1722939,2018/7/14,2018,1,Violence against civilians,Unidentified Armed Group (South Sudan),Political militia,Civilians (South Sudan),Civilians,37,Western Equatoria,Mundri West,Mundri,Kotobi,5.25,30.21,1,0,7,14,2018-7
203,203,1722936,2018/7/13,2018,1,Violence against civilians,Unidentified Armed Group (South Sudan),Political militia,Civilians (South Sudan),Civilians,37,Jonglei,Duk,Duk Padiet,Duk Padiet,7.7587,31.418000000000006,2,6,7,13,2018-7
207,207,1720916,2018/7/11,2018,1,Violence against civilians,Unidentified Armed Group (South Sudan),Political militia,Civilians (South Sudan),Civilians,37,Jonglei,Twic East,Kongor,Kongor,7.1552,31.3545,2,1,7,11,2018-7
208,208,1720911,2018/7/10,2018,1,Violence against civilians,Military Forces of South Sudan (2011-),Government or mutinous force,Civilians (South Sudan),Civilians,17,Lakes,Rumbek Centre,Kuei,Rumbek,6.8187,29.6995,1,2,7,10,2018-7
212,212,1720909,2018/7/9,2018,1,Violence against civilians,Unidentified Armed Group (South Sudan),Political militia,Civilians (South Sudan),Civilians,37,Western Equatoria,Mundri East,Kediba,Lui,5.3329,30.4581,2,4,7,9,2018-7
214,214,1720908,2018/7/7,2018,1,Violence against civilians,Pakam Clan Dinka Ethnic Militia (South Sudan),Ethnic militia,Civilians (South Sudan),Civilians,47,Lakes,Rumbek Centre,Kuei,Rumbek,6.8187,29.6995,2,1,7,7,2018-7
219,219,1684153,2018/7/4,2018,1,Violence against civilians,Unidentified Armed Group (South Sudan),Political militia,Civilians (Uganda),Civilians,37,Central Equatoria,Juba,Juba,Mangalla,5.1999,31.7722,2,1,7,4,2018-7
224,224,1668752,2018/6/30,2018,1,Violence against civilians,Unidentified Armed Group (South Sudan),Political militia,Civilians (South Sudan),Civilians,37,Upper Nile,Maban,Maban,Maban,9.96,33.73,2,18,6,30,2018-6
227,227,1668750,2018/6/29,2018,2,Violence against civilians,Unidentified Armed Group (South Sudan),Political militia,Civilians (South Sudan),Civilians,37,Lakes,Yirol East,Ador,Shambe,7.1029,30.7691,2,3,6,29,2018-6
229,229,1668745,2018/6/27,2018,1,Violence against civilians,Unidentified Armed Group (South Sudan),Political militia,Civilians (South Sudan),Civilians,37,Western Equatoria,Yambio,Bangasu,Gitikiti,4.6128,28.4848,2,0,6,27,2018-6
231,231,1684148,2018/6/27,2018,1,Violence against civilians,Tonj Communal Militia (South Sudan),Ethnic militia,Civilians (South Sudan),Civilians,47,Warrap,Tonj South,Tonj,Tonj,7.2733,28.6839,3,1,6,27,2018-6
240,240,1668736,2018/6/21,2018,2,Violence against civilians,Unidentified Armed Group (South Sudan),Political militia,Civilians (South Sudan),Civilians,37,Eastern Equatoria,Torit,Bur (Loronyo),Torit,4.4182,32.5767,3,0,6,21,2018-6
243,243,1639970,2018/6/19,2018,1,Violence against civilians,SPLA/M-In Opposition: Sudanese Peoples Liberation Army/Movement-In Opposition,Rebel force,Civilians (South Sudan),Civilians,27,Western Equatoria,Yambio,Yambio,Yambio,4.5710000000000015,28.4104,1,0,6,19,2018-6
247,247,1668735,2018/6/18,2018,2,Violence against civilians,Unidentified Armed Group (South Sudan),Political militia,Civilians (South Sudan),Civilians,37,Eastern Equatoria,Torit,Bur (Loronyo),Torit,4.4182,32.5767,3,0,6,18,2018-6
256,256,1639959,2018/6/16,2018,1,Violence against civilians,Unidentified Armed Group (South Sudan),Political militia,Civilians (South Sudan),Civilians,37,Central Equatoria,Yei,Yei,Yei,4.0899,30.6716,1,1,6,16,2018-6
263,263,1635090,2018/6/14,2018,2,Violence against civilians,Military Forces of South Sudan (2011-),Government or mutinous force,Civilians (South Sudan),Civilians,17,Western Bahr el Ghazal,Wau,Bazia,Bazia,7.13,27.89,1,0,6,14,2018-6
264,264,1635091,2018/6/14,2018,2,Violence against civilians,Military Forces of South Sudan (2011-),Government or mutinous force,Civilians (South Sudan),Civilians,17,Western Bahr el Ghazal,Wau,Udici,Wau,7.7177,28.0071,2,0,6,14,2018-6
265,265,1635092,2018/6/14,2018,2,Violence against civilians,Military Forces of South Sudan (2011-),Government or mutinous force,Civilians (South Sudan),Civilians,17,Western Bahr el Ghazal,Jur River,Marial Wau,Nyin Akok,7.92,28.04,2,0,6,14,2018-6
267,267,1866901,2018/6/12,2018,1,Violence against civilians,Unidentified Armed Group (South Sudan),Political militia,Civilians (South Sudan),Civilians,37,Eastern Equatoria,Kapoeta South,Kapoeta,Kapoeta,4.7762,33.5829,2,0,6,12,2018-6
268,268,1635087,2018/6/12,2018,1,Violence against civilians,Unidentified Armed Group (South Sudan),Political militia,Civilians (South Sudan),Civilians,37,Lakes,Yirol East,Ador,Shambe,7.1029,30.7691,3,2,6,12,2018-6
271,271,1720906,2018/6/10,2018,2,Violence against civilians,SPLA/M-In Opposition: Sudanese Peoples Liberation Army/Movement-In Opposition,Rebel force,Civilians (South Sudan),Civilians,27,Western Equatoria,Yambio,Yambio,Yambio,4.5710000000000015,28.4104,3,0,6,10,2018-6
272,272,1635083,2018/6/9,2018,2,Violence against civilians,Unidentified Armed Group (South Sudan),Political militia,Civilians (South Sudan),Civilians,37,Central Equatoria,Lainya,Otogo,Limbe,4.1589,30.8378,1,4,6,9,2018-6
274,274,1632514,2018/6/7,2018,1,Violence against civilians,Unidentified Armed Group (South Sudan),Political militia,Civilians (South Sudan),Civilians,37,Eastern Equatoria,Torit,Bur (Loronyo),Torit,4.4182,32.5767,2,0,6,7,2018-6
275,275,1632512,2018/6/5,2018,2,Strategic development,SS-UF: South Sudan-United Front,Rebel force,Civilians (South Sudan),Civilians,27,Western Bahr el Ghazal,Wau,Udici,Wau,7.7177,28.0071,3,0,6,5,2018-6
277,277,1632510,2018/6/4,2018,1,Violence against civilians,SPLA/M-In Opposition: Sudanese Peoples Liberation Army/Movement-In Opposition,Rebel force,Civilians (South Sudan),Civilians,27,Unity,Mayom,Mankien,Bul,9.1667,29.0,1,1,6,4,2018-6
278,278,1632511,2018/6/4,2018,1,Violence against civilians,Unidentified Armed Group (South Sudan),Political militia,Civilians (South Sudan),Civilians,37,Eastern Equatoria,Ikotos,Lomohidang (Isoke),Lobira,4.3919,33.0609,2,2,6,4,2018-6
280,280,1632508,2018/6/3,2018,1,Violence against civilians,Military Forces of South Sudan (2011-),Government or mutinous force,Civilians (South Sudan),Civilians,17,Central Equatoria,Juba,Juba,Juba,4.8609,31.6178,1,1,6,3,2018-6
284,284,1632505,2018/5/31,2018,1,Violence against civilians,Unidentified Armed Group (South Sudan),Political militia,Civilians (South Sudan),Civilians,37,Jonglei,Pochalla,Pochalla,Pochalla,7.1783,34.0967,2,0,5,31,2018-5
286,286,1618188,2018/5/30,2018,2,Violence against civilians,Military Forces of South Sudan (2011-),Government or mutinous force,Civilians (South Sudan),Civilians,17,Warrap,Tonj South,Tonj,Tonj,7.2733,28.6839,2,0,5,30,2018-5
288,288,1632504,2018/5/30,2018,2,Violence against civilians,Unidentified Armed Group (South Sudan),Political militia,Civilians (South Sudan),Civilians,37,Central Equatoria,Yei,Yei,Yei,4.0899,30.6716,2,0,5,30,2018-5
291,291,1618185,2018/5/28,2018,2,Violence against civilians,Unidentified Armed Group (South Sudan),Political militia,Civilians (South Sudan),Civilians,37,Western Equatoria,Yambio,Bangasu,Rimenze,4.7108,28.5895,1,1,5,28,2018-5
294,294,1618181,2018/5/25,2018,1,Violence against civilians,Military Forces of South Sudan (2011-),Government or mutinous force,Civilians (South Sudan),Civilians,17,Warrap,Tonj South,Tonj,Tonj,7.2733,28.6839,2,0,5,25,2018-5
299,299,1614333,2018/5/22,2018,1,Violence against civilians,Unidentified Armed Group (South Sudan),Political militia,Civilians (South Sudan),Civilians,37,Western Equatoria,Tambura,Tambura,Tambura,5.5985,27.4621,1,0,5,22,2018-5
304,304,1639952,2018/5/17,2018,1,Violence against civilians,SPLA/M-In Opposition: Sudanese Peoples Liberation Army/Movement-In Opposition,Rebel force,Civilians (South Sudan),Civilians,27,Western Equatoria,Nagero,Nagero,Nagero,6.49,27.6801,2,0,5,17,2018-5
305,305,1618180,2018/5/16,2018,2,Violence against civilians,Unidentified Armed Group (South Sudan),Political militia,Civilians (South Sudan),Civilians,37,Western Equatoria,Tambura,Tambura,Tambura,5.5985,27.4621,2,0,5,16,2018-5
307,307,1608045,2018/5/14,2018,1,Violence against civilians,Unidentified Armed Group (South Sudan),Political militia,Civilians (International),Civilians,37,Western Equatoria,Ezo,Ezo,Yangiri,5.2832,27.7911,2,0,5,14,2018-5
308,308,1608046,2018/5/14,2018,1,Violence against civilians,Unidentified Armed Group (South Sudan),Political militia,Civilians (South Sudan),Civilians,37,Western Equatoria,Maridi,Maridi,Maridi,4.9238,29.4626,1,1,5,14,2018-5
309,309,1608043,2018/5/13,2018,1,Violence against civilians,Unidentified Armed Group (South Sudan),Political militia,Civilians (South Sudan),Civilians,37,Central Equatoria,Juba,Juba,Juba,4.8609,31.6178,1,2,5,13,2018-5
311,311,1603520,2018/5/11,2018,2,Violence against civilians,Military Forces of South Sudan (2011-),Government or mutinous force,Civilians (South Sudan),Civilians,17,Central Equatoria,Yei,Morobo,Apidi,3.7769,30.7038,1,1,5,11,2018-5
315,315,1608039,2018/5/10,2018,2,Violence against civilians,Tonj Communal Militia (South Sudan),Ethnic militia,Civilians (South Sudan),Civilians,47,Lakes,Cueibet,Citcok,Malou-pech,7.1037,29.0792,1,5,5,10,2018-5
318,318,1603517,2018/5/7,2018,1,Violence against civilians,Ganyiel Communal Militia (South Sudan),Ethnic militia,Civilians (South Sudan),Civilians,47,Lakes,Rumbek Centre,Kuei,Rumbek,6.8187,29.6995,2,2,5,7,2018-5
319,319,1603515,2018/5/6,2018,1,Violence against civilians,Ganyiel Communal Militia (South Sudan),Ethnic militia,Civilians (South Sudan),Civilians,47,Lakes,Rumbek Centre,Kuei,Rumbek,6.8187,29.6995,2,2,5,6,2018-5
327,327,1600266,2018/5/3,2018,2,Violence against civilians,Akook Communal Militia (South Sudan),Ethnic militia,Civilians (South Sudan),Civilians,47,Warrap,Tonj East,Ananatak,Kongor,7.8333,29.2833,2,3,5,3,2018-5
328,328,1603508,2018/5/3,2018,1,Violence against civilians,Unidentified Armed Group (South Sudan),Political militia,Civilians (Sudan),Civilians,37,Western Bahr el Ghazal,Wau,Udici,Wau,7.7177,28.0071,1,1,5,3,2018-5
329,329,1600265,2018/5/2,2018,3,Violence against civilians,Unidentified Communal Militia (South Sudan),Ethnic militia,Civilians (South Sudan),Civilians,47,Warrap,Tonj South,Thiet,Thiet,7.6067,28.8209,1,1,5,2,2018-5
331,331,1876545,2018/4/29,2018,1,Violence against civilians,Unidentified Armed Group (South Sudan),Political militia,Civilians (South Sudan),Civilians,37,Western Equatoria,Yambio,Yambio,Yambio,4.5710000000000015,28.4104,2,0,4,29,2018-4
337,337,1600257,2018/4/27,2018,1,Violence against civilians,Unidentified Armed Group (South Sudan),Political militia,Civilians (South Sudan),Civilians,37,Upper Nile,Renk,Renk,Renk,11.75,32.8,2,2,4,27,2018-4
342,342,1603507,2018/4/26,2018,1,Violence against civilians,Unidentified Armed Group (South Sudan),Political militia,Civilians (South Sudan),Civilians,37,Unity,Leer,Koch,Leer,8.2936,30.1326,2,2,4,26,2018-4
343,343,1600255,2018/4/25,2018,1,Violence against civilians,Unidentified Armed Group (South Sudan),Political militia,Civilians (International),Civilians,37,Central Equatoria,Yei,Yei,Yei,4.0899,30.6716,2,0,4,25,2018-4
346,346,1600254,2018/4/24,2018,1,Violence against civilians,Unidentified Armed Group (South Sudan),Political militia,Civilians (South Sudan),Civilians,37,Central Equatoria,Terekeka,Terkeka,Tali,5.8938,30.7783,1,1,4,24,2018-4
366,366,1577911,2018/4/16,2018,1,Violence against civilians,Military Forces of South Sudan (2011-) Presidential Security Unit,Government or mutinous force,Civilians (South Sudan),Civilians,17,Central Equatoria,Juba,Juba,Juba,4.8609,31.6178,1,1,4,16,2018-4
370,370,1577915,2018/4/16,2018,2,Violence against civilians,Lakes Communal Militia (South Sudan),Ethnic militia,Civilians (South Sudan),Civilians,47,Lakes,Rumbek Centre,Kuei,Rumbek,6.8187,29.6995,2,2,4,16,2018-4
371,371,1577910,2018/4/16,2018,1,Violence against civilians,Misseriya Ethnic Militia (Sudan),Ethnic militia,Civilians (South Sudan),Civilians,47,Unity,Mayom,Mankien,Mayom,9.22,29.17,2,4,4,16,2018-4
379,379,1258005,2018/4/9,2018,1,Violence against civilians,Unidentified Armed Group (South Sudan),Political militia,Civilians (South Sudan),Civilians,37,Western Bahr el Ghazal,Wau,Udici,Wau,7.7177,28.0071,1,1,4,9,2018-4
380,380,1258000,2018/4/7,2018,1,Violence against civilians,Unidentified Communal Militia (South Sudan),Ethnic militia,Civilians (South Sudan),Civilians,47,Unity,Rubkona,Rubkoana,Bentiu,9.2525,29.7883,2,1,4,7,2018-4
381,381,1258001,2018/4/7,2018,1,Violence against civilians,Unidentified Armed Group (South Sudan),Political militia,Civilians (South Sudan),Civilians,37,Unity,Rubkona,Rubkoana,Bentiu,9.2525,29.7883,2,1,4,7,2018-4
