,data_id,year,time_precision,event_type,actor1,assoc_actor_1,actor1_type,actor2,assoc_actor_2,actor2_type,interaction_type,region1,region2,region3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,Month,Day,Coordinates
52,1889588,2018,2,Violence against civilians,Unidentified Armed Group (South Sudan),,Political militia,Civilians (South Sudan),Military Forces of South Sudan (2011-),Civilians,37,Western Bahr el Ghazal,Wau,Udici,Wau,7.7177,28.0071,1,Voice of Hope Radio,Subnational,"On or before October 8th, an SPLA officer was shot by unknown gunmen as he left his house in the Hai Salam area of Wau (Western Bahr el Ghazal). The officer survived the attack.",0,10,8,"(28.0071, 7.7177)"
63,1892046,2018,1,Violence against civilians,Unidentified Armed Group (South Sudan),,Political militia,Civilians (South Sudan),,Civilians,37,Jonglei,Bor South,Makuac,Bor,6.2139999999999995,31.561999999999998,2,Radio Tamazuj,Regional,"On October 5th, an unidentified armed group attacked an unspecified location in the area of Majokgeth in Bor North county (coordinates for Bor, Jongeli state, used). The attackers killed two brothers. The acting police commissioner blamed cattle raiders from neighbouring Boma state.",2,10,5,"(31.561999999999998, 6.2139999999999995)"
78,1953940,2018,1,Violence against civilians,Unidentified Armed Group (South Sudan),,Political militia,Civilians (South Sudan),,Civilians,37,Central Equatoria,Terekeka,Terkeka,Gemmaiza,5.6803,31.8,2,Radio Tamazuj,Regional,"On October 1st, unidentified gunmen attacked a family in Gemmaiza county (Central Equatoria), and abducted an eight-year old girl. The governor of Terekaka State stated that he believed the attackers came from Boma state.",0,10,1,"(31.8, 5.6803)"
84,1885154,2018,1,Violence against civilians,Unidentified Armed Group (South Sudan),,Political militia,Civilians (South Sudan),,Civilians,37,Western Equatoria,Yambio,Yambio,Yambio,4.6881,28.3975,2,Radio Tamazuj,Regional,"On September 28th, a man threw a grenade into a memorial service at a location 15km north of the town of Yambio. Nine civilians were killed, whilst 35 were wounded (including the attacker). The attacker has been arrested by the police.",9,9,28,"(28.3975, 4.6881)"
95,1884793,2018,1,Violence against civilians,Unidentified Armed Group (South Sudan),,Political militia,Civilians (South Sudan),,Civilians,37,Western Equatoria,Yambio,Yambio,Ikpiro,4.5851,28.3908,1,Radio Anisa; Radio Miraya;,National,"On September 24th, two gunmen shot and killed a man in Yambio (Western Equatoria). The victim was a security guard for Radio Anisa, who returned home to find the gunmen holding his wife hostage. Police have arrested one suspect.",1,9,24,"(28.3908, 4.5851)"
97,1883938,2018,1,Violence against civilians,Unidentified Armed Group (South Sudan),,Political militia,Civilians (South Sudan),Health Workers (South Sudan),Civilians,37,Eastern Equatoria,Torit,Bur (Loronyo),Torit,4.4182,32.5767,2,Radio Tamazuj,Subnational,23 September. Unidentified armed men killed a doctor and injured his son while they were driving on the Torit-Juba road.,1,9,23,"(32.5767, 4.4182)"
100,1884243,2018,1,Violence against civilians,Unidentified Armed Group (South Sudan),,Political militia,Civilians (South Sudan),,Civilians,37,Western Equatoria,Maridi,Maridi,Maridi,4.9238,29.4626,3,Eye Radio,Subnational,"19 September. ""bandits"" attacked and killed three traders on the Maridi-Yambio road. Following an attack, authorities announced the deployment of additional security forces along the border with Gbudwe.",3,9,19,"(29.4626, 4.9238)"
101,1884241,2018,1,Violence against civilians,Aluakluak Communal Militia (South Sudan),Herders (South Sudan),Ethnic militia,Civilians (South Sudan),Herders (South Sudan),Civilians,47,Lakes,Rumbek Centre,Kuei,Rumbek,6.819,29.7,2,Gurtong Trust,National,"17 September. Cattle raiders, allegedly from Aluakluak, attacked cattle owners in Eastern Bhar Naam in Rumbek. Three people were wounded during the attack. Five cattle were stolen. ",0,9,17,"(29.7, 6.819)"
103,1893096,2018,3,Violence against civilians,Unidentified Armed Group (South Sudan),,Political militia,Civilians (South Sudan),,Civilians,37,Lakes,Rumbek East,Alamtoch West,Atiabba,6.5733,29.9782,1,Good News Radio,Subnational,"At some point in September, a student of the secondary school in Atiaba was killed, though no further informaiton is provided in the source (approximate coordinates for Atiaba, Lakes state, used based on humanitarian source).",1,9,15,"(29.9782, 6.5733)"
112,1953935,2018,1,Violence against civilians,Unidentified Armed Group (South Sudan),,Political militia,Civilians (South Sudan),,Civilians,37,Lakes,Rumbek Centre,Kuei,Rumbek,6.8187,29.6995,2,Radio Tamazuj,Regional,"On September 11th, armed men entered a house and shot dead a woman and child in the area of Luak-cok in Jiir Payam (Lakes state, coordinates for Rumbek used).",2,9,11,"(29.6995, 6.8187)"
114,1756497,2018,1,Violence against civilians,Unidentified Armed Group (South Sudan),,Political militia,Civilians (South Sudan),Government of South Sudan (2011-),Civilians,37,Central Equatoria,Juba,Juba,Munuki,4.8568,31.5795,1,Radio Tamazuj,Regional,"On September 8th, the Governor of Northern Liech state - Joseph Nguen Monytuil - survived an assasination attempt in Munuki (Juba, Central Equatoria). Unknown gunmen driving a vehicle threw a grenade at the Govenor's car as it passed a bridge, damaging his vehicle.",0,9,8,"(31.5795, 4.8568)"
117,1756491,2018,2,Violence against civilians,Unidentified Armed Group (South Sudan),,Political militia,Civilians (South Sudan),,Civilians,37,Warrap,Gogrial West,Akon,Akon,8.8822,27.9892,2,Radio Tamazuj,Regional,"On or before September 6th, a young boy was killed by an unknwon assailant(s) as he travelled from Akon market in Gogrial (Warrap state. Note that there are two locations for Akon in Gogrial; the location for Gogrial West has been used here). The governor of Gogrial state mentioned a number of attacks in the area attributed to ""unknown gunmen"".",1,9,6,"(27.9892, 8.8822)"
120,1756494,2018,1,Violence against civilians,Unidentified Armed Group (South Sudan),,Political militia,Civilians (Sudan),,Civilians,37,Warrap,Twic,Ajakkuac,Ajakuac,9.232000000000001,28.589000000000002,2,Radio Tamazuj,Regional,"On September 6th, an unknown gunman shot and killed a Sudanese trader travelling from Abyei to Wau, in Toch-Acol village in Twic County (Warrap state, coordinates for Ajakkuac used). The Minister of Information for Twic State said that three suspects had been arrested in conection to the murder, including the driver of the victim's car.",1,9,6,"(28.589000000000002, 9.232000000000001)"
132,1756479,2018,1,Violence against civilians,Unidentified Armed Group (South Sudan),,Political militia,Civilians (South Sudan),Aid Workers (South Sudan),Civilians,37,Central Equatoria,Lainya,Otogo,Limbe,4.1589,30.8378,2,Radio Miraya/Eye Radio,National,"On September 2nd, unknown gunmen fired at a vehicle carrying the Provincial Youth Coordinator for the Episcopal Church - Joseph Kiri - who was also a clinical officer for an NGO. The victim died immediately, though his driver escaped the gunfire. The event took place near Limbe (Central Equatoria), as the two were travelling from Lainya to Yei.",1,9,2,"(30.8378, 4.1589)"
137,1756478,2018,2,Violence against civilians,Unidentified Armed Group (South Sudan),,Political militia,Civilians (South Sudan),,Civilians,37,Central Equatoria,Juba,Juba,Munuki,4.8568,31.5795,1,Eye Radio,National,"On or around August 29th, an unidentified armed group broke into a compound in the Munuki suburb of Juba and robbed the residents at gunpoint, and attempted to rape women living in the compound. This is part of a spate of robberies by unknown gunmen in the area.",0,8,29,"(31.5795, 4.8568)"
140,1743289,2018,1,Violence against civilians,Unidentified Armed Group (South Sudan),,Political militia,Civilians (South Sudan),Lotuku Ethnic Group (South Sudan),Civilians,37,Eastern Equatoria,Torit,Bur (Loronyo),Torit,4.4182,32.5767,2,Radio Tamazuj/Radio Miraya,National-Regional,"On August 25th, five children were abducted by an unknown armed group in three events on the road between Jebel Mulak and Korangeref (coordinates for Torit, Eastern Equatoria, used). The gunmen stopped vehicles to adbuct the children, though returned a young child to its mother in one incident, taking the total number of abductees to four. Torit police reported that three of the children were of the Lotuku ethnic group.",0,8,25,"(32.5767, 4.4182)"
142,1743286,2018,1,Violence against civilians,Unidentified Armed Group (South Sudan),,Political militia,Civilians (South Sudan),,Civilians,37,Eastern Equatoria,Torit,Bur (Loronyo),Torit,4.4182,32.5767,2,Radio Tamazuj,Regional,"On August 23rd, unknown gunmen attacked a commercial vehicle on the Juba-Torit road at Jebel Mulak, next to the Torit SPLA barracks (coordinates for Torit used). The driver was wounded, and a passenger (who was the coach of a local football team) was killed.",1,8,23,"(32.5767, 4.4182)"
145,1743285,2018,1,Violence against civilians,Boma Communal Militia (South Sudan),,Ethnic militia,Civilians (South Sudan),,Civilians,47,Jonglei,Twic East,Paliau,Paliau,6.966,31.3808,2,Radio Tamazuj,Regional,"On August 22nd, two people were killed, and two children abducted, in the vicinity of Paliau (Jonglei state). The event was reported by the county commissioner of Twic South, who suggested the group responsible came from neighbouring Boma state (south-eastern Jonglei).",2,8,22,"(31.3808, 6.966)"
150,1743278,2018,1,Violence against civilians,Terekeka Communal Militia (South Sudan),,Ethnic militia,Civilians (South Sudan),,Civilians,47,Central Equatoria,Juba,Juba,Gworolorongo,4.888999999999999,31.0348,2,Radio Miraya,National,"On August 19th, suspected gunmen from Terekaka state attacked civilians in Kunda payam, Dollo county (Central Equatoria, coordinates for Gworolorongo used). Five civilians (one woman, and four children) were killed in the attack, and five others were wounded.",5,8,19,"(31.0348, 4.888999999999999)"
156,1743295,2018,1,Violence against civilians,Haforiere Communal Militia (South Sudan),,Ethnic militia,Civilians (South Sudan),Farmers (South Sudan),Civilians,47,Eastern Equatoria,Torit,Bur (Loronyo),Oguruny,4.4256,32.8936,2,Radio Tamazuj,Regional,"On August 11th, a farmer was killed at his residence in Oguruny (Eastern Equatoria, around 20km east of Torit, approximate coordinates used). The Torit East county commissioner blamed youths from nearby Haforiere, and asked youths of that area to arrest those responsible.",1,8,11,"(32.8936, 4.4256)"
157,1743272,2018,1,Violence against civilians,Terekeka Communal Militia (South Sudan),,Ethnic militia,Civilians (South Sudan),Farmers (South Sudan),Civilians,47,Central Equatoria,Juba,Juba,Gworolorongo,4.888999999999999,31.0348,2,Radio Tamazuj,Regional,"On 10th August, armed cattle keepers (believed to be from Terekeka state) attacked farming communities at Burenga village in Dollo county (Central Equatoria, coordinates for Gworolorongo used). Two children were killed in the attack after their house was burnt down, and their family was wounded. It is possible others may have been injured too.",2,8,10,"(31.0348, 4.888999999999999)"
160,1743270,2018,1,Violence against civilians,Unidentified Armed Group (South Sudan),,Political militia,Civilians (South Sudan),,Civilians,37,Western Equatoria,Yambio,Yambio,Yambio,4.571000000000001,28.4104,1,Eye Radio,National,"On August 8th, Bashir Ahmed - a human rights activist - was taken by an unidentified armed group in Yambio (Western Equatoria). His family believe the gunmen were part of the government security forces, although they were not wearing uniforms.",0,8,8,"(28.4104, 4.571000000000001)"
163,1743268,2018,1,Violence against civilians,Terekeka Communal Militia (South Sudan),,Ethnic militia,Civilians (South Sudan),Farmers (South Sudan),Civilians,47,Central Equatoria,Juba,Juba,Gworolorongo,4.888999999999999,31.0348,2,Radio Tamazuj,Regional,"On 5th August, armed cattle keepers (believed to be from Terekeka state) attacked farming communities at an unspecified location in Dollo county (Central Equatoria, coordinates for Gworolorongo used). Seven male youths were killed in the attack, and several may have been injured.",7,8,5,"(31.0348, 4.888999999999999)"
168,1743265,2018,1,Violence against civilians,Police Forces of South Sudan (2011-),,Government or mutinous force,Civilians (South Sudan),,Civilians,17,Warrap,Tonj South,Tonj,Tonj,7.2733,28.6839,2,Radio Miraya/Eye Radio,National,"On August 4th, a cattle herder was killed by police at a checkpoint following a dispute near Makuok market, Tonj South (Warrap, coordinates for Tonj used). Seven police officers have been detained, and an investigation launched.",1,8,4,"(28.6839, 7.2733)"
169,1743259,2018,1,Violence against civilians,SPLA/M-In Opposition: Sudanese Peoples Liberation Army/Movement-In Opposition,,Rebel force,Civilians (South Sudan),,Civilians,27,Central Equatoria,Yei,Yei,Longamere,3.9181,30.7428,2,Radio Tamazuj,Regional,"On July 31st, six civilians were killed at an unspecified location in Mugwo county (Central Equatoria, coordinates for Longamere used). Government authorities in Yei accused the SPLM-IO of being responsible for the killings, which they denied.",6,7,31,"(30.7428, 3.9181)"
170,1743260,2018,2,Violence against civilians,Military Forces of South Sudan (2011-),,Government or mutinous force,Civilians (South Sudan),,Civilians,17,Central Equatoria,Yei,Yei,Longamere,3.9181,30.7428,2,Radio Tamazuj,Regional,"On or before July 31st, SPLA-IO accused the government forces of killing six civilians at an unspecified location in Mugwo county (Central Equatoria, coordinates for Longamere used). The claim was made after Yei authorities accused the rebels of killing civilians in the area late July, which they denied.",6,7,31,"(30.7428, 3.9181)"
171,1743258,2018,1,Violence against civilians,Unidentified Armed Group (South Sudan),,Political militia,Civilians (South Sudan),,Civilians,37,Eastern Equatoria,Torit,Bur (Loronyo),Torit,4.4182,32.5767,2,Radio Tamazuj,Regional,"On 30th July, three children were abducted by an unknown group, on the western outskirts of Torit (Eastern Equatoria). Police forces pursued the raiders, and one child was rescued.",0,7,30,"(32.5767, 4.4182)"
175,1728018,2018,2,Violence against civilians,Unidentified Armed Group (South Sudan),,Political militia,Civilians (Sudan),,Civilians,37,Unity,Rubkona,Rubkoana,Bentiu,9.2525,29.7883,1,Radio Miraya,National,"On or before 27th July, a Darfuri trader was killed by unknown gunmen in Bentiu (Unity state).",1,7,27,"(29.7883, 9.2525)"
176,1743255,2018,1,Violence against civilians,Terekeka Communal Militia (South Sudan),,Ethnic militia,Civilians (South Sudan),,Civilians,47,Central Equatoria,Juba,Juba,Gworolorongo,4.888999999999999,31.0348,2,Radio Tamazuj,Regional,"On 27th July, armed cattle keepers (believed to be from Terekeka state) attacked farming communities in the area of Dollo county (Juba county, Central Equatoria, coordinates for Gworolorongo used). Four reported killed and several potentially injured.",4,7,27,"(31.0348, 4.888999999999999)"
179,1743254,2018,1,Violence against civilians,SPLA/M-In Opposition: Sudanese Peoples Liberation Army/Movement-In Opposition,,Rebel force,Civilians (South Sudan),,Civilians,27,Central Equatoria,Yei,Yei,Logobero,4.2095,30.68,2,Radio Tamazuj,Regional,"On July 24th, government authorities in Yei accused the SPLM-IO of abducting 35 civilians in Logobero, close to Yei town (Central Equatoria, approximate coordinates used). The SPLM-IO denied the allegations.",0,7,24,"(30.68, 4.2095)"
182,1728015,2018,1,Violence against civilians,Unidentified Armed Group (South Sudan),,Political militia,Civilians (South Sudan),Refugees/IDPs (South Sudan),Civilians,37,Unity,Rubkona,Rubkoana,Bentiu,9.2525,29.7883,1,Radio Tamazuj,Regional,"On 23rd July, unknown gunmen entered the IDP camp at Bentiu (Unity state), and killed a community guard patrolling the camp at night (it is unclear if the guard was armed). The assailants were allegedly seeking to enter the camp to steal.",1,7,23,"(29.7883, 9.2525)"
188,1722949,2018,1,Violence against civilians,Military Forces of South Sudan (2011-),,Government or mutinous force,Civilians (South Sudan),,Civilians,17,Unity,Mayendit,Mayendit,Jaguar,8.3892,30.0286,2,Sudan Tribune,Regional,"On 20th July, the SPLA abducted 6 civilians at Jaguar (Unity state, approximate coordinates used), according to the SPLM-IO.",0,7,20,"(30.0286, 8.3892)"
192,1722945,2018,1,Violence against civilians,Unidentified Armed Group (South Sudan),,Political militia,Civilians (South Sudan),,Civilians,37,Unity,Rubkona,Rubkoana,Rubkona,9.3067,29.7833,2,Radio Miraya,National,"On 19th July, gunmen ambushed a vehicle travelling to Bentiu from Mayom, 15km away from the city of Rubkona on the Kilak road (Unity state, approximate coordinates used). Two travellers were killed, and six injured.",2,7,19,"(29.7833, 9.3067)"
194,1722941,2018,1,Violence against civilians,Duk Padiet Communal Militia (South Sudan),,Ethnic militia,Civilians (South Sudan),,Civilians,47,Jonglei,Duk,Duk Padiet,Warawar,7.84,31.69,2,Radio Miraya; Radio Tamazuj,National-regional,"On 15th July, relatives of the victims of an attack at Duk Padiet on July 13th took revenge on civilians in Duk Pagak (Jonglei, coordinates for Warawar used). Three civilians were killed by the attackers, who also looted property.",3,7,15,"(31.69, 7.84)"
200,1722939,2018,1,Violence against civilians,Unidentified Armed Group (South Sudan),,Political militia,Civilians (South Sudan),,Civilians,37,Western Equatoria,Mundri West,Mundri,Kotobi,5.25,30.21,1,Radio Miraya; Radio Tamazuj,National-regional,"On 14th July, a second truck was ambushed at Kotobi (Western Equatoria) by unidentified gunmen. Three civilians were abducted. The abductees were released on 16th July, two of whom were severely beaten.",0,7,14,"(30.21, 5.25)"
203,1722936,2018,1,Violence against civilians,Unidentified Armed Group (South Sudan),Prisoners (South Sudan),Political militia,Civilians (South Sudan),,Civilians,37,Jonglei,Duk,Duk Padiet,Duk Padiet,7.7587,31.418000000000003,2,Radio Miraya; Radio Tamazuj,National-regional,"On 13th July, six traders were killed in the Duk Padiet area (Jonglei), and over 70 cattle stolen. The attackers were believed to be escaped prisoners.",6,7,13,"(31.418000000000003, 7.7587)"
207,1720916,2018,1,Violence against civilians,Unidentified Armed Group (South Sudan),,Political militia,Civilians (South Sudan),,Civilians,37,Jonglei,Twic East,Kongor,Kongor,7.1552,31.3545,2,Radio Tamazuj,Regional,"On 11th July, armed men killed a woman in Agek-rok, Kongor county (Jonglei, coordinates for Kongor used), and abducted two of her children.",1,7,11,"(31.3545, 7.1552)"
208,1720911,2018,1,Violence against civilians,Military Forces of South Sudan (2011-),,Government or mutinous force,Civilians (South Sudan),,Civilians,17,Lakes,Rumbek Centre,Kuei,Rumbek,6.8187,29.6995,1,Radio Tamazuj,Regional,"On 10th July, a soldier acting on his own accord killed two civilians in Rumbek town (Lakes state), and wounded five by shooting indiscriminately at civilians in a market. One of the deceasesd was a former girlfriend of the soldier, who he was said to have been in an acrimonious dispute with.",2,7,10,"(29.6995, 6.8187)"
212,1720909,2018,1,Violence against civilians,Unidentified Armed Group (South Sudan),,Political militia,Civilians (South Sudan),Civilians (Somalia),Civilians,37,Western Equatoria,Mundri East,Kediba,Lui,5.3329,30.4581,2,Radio Tamazuj,Regional,"On 9th July, gunmen attacked a commercial vehicle travelling between Mundri and Lui (Western Equatoria, coordinates for Lui used). The governor of Amadi state said three South Sudanese civilians and one Somali citizen were killed in the attack, and three others were wounded.",4,7,9,"(30.4581, 5.3329)"
214,1720908,2018,1,Violence against civilians,Pakam Clan Dinka Ethnic Militia (South Sudan),,Ethnic militia,Civilians (South Sudan),,Civilians,47,Lakes,Rumbek Centre,Kuei,Rumbek,6.8187,29.6995,2,Radio Tamazuj,Regional,"On 7th July, armed youth suspected of belonging to the Pakam clan attacked Warthiang village (Lakes state). One civilian was killed in the attack, and another injured.",1,7,7,"(29.6995, 6.8187)"
219,1684153,2018,1,Violence against civilians,Unidentified Armed Group (South Sudan),,Political militia,Civilians (Uganda),UNICEF: United Nations Childrens Fund,Civilians,37,Central Equatoria,Juba,Juba,Mangalla,5.1999,31.7722,2,Radio Miraya; Sudan Tribune,National-regional,"On 4th July, unknown gunmen attacked two UNICEF trucks travelling from Juba to Bor, killing a Ugandan driver. The incident took place between the John Garang Military College and Mangalla (coordinates for Mangalla used).",1,7,4,"(31.7722, 5.1999)"
224,1668752,2018,1,Violence against civilians,Unidentified Armed Group (South Sudan),,Political militia,Civilians (South Sudan),,Civilians,37,Upper Nile,Maban,Maban,Maban,9.96,33.73,2,Radio Tamazuj; Eye Radio,Subnational,"On 30th June, at least 18 civilians were killed at at least 24 wounded in an attack by unidentified gunmen in the Banketa area of Maban Upper Nile.",18,6,30,"(33.73, 9.96)"
227,1668750,2018,2,Violence against civilians,Unidentified Armed Group (South Sudan),,Political militia,Civilians (South Sudan),,Civilians,37,Lakes,Yirol East,Ador,Shambe,7.1029,30.7691,2,Eye Radio,Subnational,"On or before 29th June, unidentified gumen attacked a vehicle travelling from Shambe to Nyang (cordinates for Shambe used). These were reportedly the same gunmen who attacked a cattle camp earlier that same day. 3 civilians were killed in the attack, and five were wounded.",3,6,29,"(30.7691, 7.1029)"
